tiploc,node_id,nodeid,station_name,tlc
PENZNCE,railn_1553,1553,Penzance,PNZ
STIVES,railn_3285,3285,St Ives,SIV
CARBISB,railn_303,303,Carbis Bay,CBB
STERTH,railn_1551,1551,St Erth,SER
LELANTS,railn_302,302,Lelant Saltings,LTS
LELANT,railn_301,301,Lelant,LEL
HAYLE,railn_3372,3372,Hayle,HYL
CBORNE,railn_3373,3373,Camborne,CBN
ARISAIG,railn_2470,2470,Arisaig,ARG
MLAIG,railn_1047,1047,Mallaig,MLG
MORAR,railn_2159,2159,Morar,MRR
REDRUTH,railn_2499,2499,Redruth,RED
BEASDAL,railn_2469,2469,Beasdale,BSL
KYLELSH,railn_3838,3838,Kyle of Lochalsh,KYL
LCHALRT,railn_2471,2471,Lochailort,LCL
DUIRNSH,railn_1601,1601,Duirinish,DRN
PRYN,railn_3743,3743,Penryn,PYN
PERANWL,railn_2500,2500,Perranwell,PRW
PLOCKTN,railn_1599,1599,Plockton,PLK
PENMERE,railn_3711,3711,Penmere,PNM
FALMTHT,railn_3455,3455,Falmouth Town,FMT
DUNCRAG,railn_1600,1600,Duncraig,DCG
NEWQUAY,railn_3802,3802,Newquay,NQY
TRURO,railn_2498,2498,Truro,TRU
FALMTHD,railn_3454,3454,Falmouth Docks,FAL
QNTRLDW,railn_2846,2846,Quintrel Downs,QUI
OBAN,railn_225,225,Oban,OBN
STRMFRY,railn_2410,2410,Stromeferry,STF
GLNFNNN,railn_591,591,Glenfinnan,GLF
MLFDHVN,railn_481,481,Milford Haven,MFH
STCLMBR,railn_2845,2845,St Columb Road,SCR
CONNELF,railn_226,226,Connel Ferry,CON
ATADALE,railn_2059,2059,Attadale,ATT
JHNSTND,railn_3483,3483,Johnston,JOH
STCN,railn_1741,1741,Strathcarron,STC
FGDHGWK,railn_4105,4105,Fishguard & Goodwick,FGW
FGDHBR,railn_3798,3798,Fishguard Harbour,FGH
HAVRFDW,railn_3482,3482,Haverfordwest,HVF
PEMBRKD,railn_2729,2729,Pembroke Dock,PMD
RCHE,railn_2847,2847,Roche,ROC
PEMBROK,railn_1458,1458,Pembroke,PMB
LCHESDE,railn_589,589,Locheilside,LCS
ACHHSHL,railn_1740,1740,Achnashellach,ACH
TAYNULT,railn_573,573,Taynuilt,TAY
LAMPHEY,railn_1456,1456,Lamphey,LAM
CLARBRD,railn_2135,2135,Clarbeston Road,CLR
STAUSTL,railn_1949,1949,St Austell,SAU
BUGLE,railn_2662,2662,Bugle,BGL
LUXULYN,railn_1950,1950,Luxulyan,LUX
LCEILOB,railn_590,590,Loch Eil Outward Bound,LHE
STRNRR,railn_2753,2753,Stranraer,STR
MNORBER,railn_1457,1457,Manorbier,MRB
PARR,railn_1547,1547,Par,PAR
FLSCRHN,railn_572,572,Falls of Cruachan,FOC
CORPACH,railn_458,458,Corpach,CPA
FRTWLM,railn_2715,2715,Fort William,FTW
LSTWTHL,railn_1548,1548,Lostwithiel,LOS
BODMNPW,railn_2057,2057,Bodmin Parkway,BOD
BANAVIE,railn_456,456,Banavie,BNV
